Nome da Empresa	Valor total adquirido	Valor Empenhado
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$339,60
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$3.254,35
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$800,00
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$248,00
PABLO LUIS MARTINS	R$1.192,00	R$1.192,00
PABLO LUIS MARTINS	R$1.192,00	R$ -
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$1.443,90	R$124,60
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$1.443,90	R$53,30
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$1.443,90	R$990,00
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$1.443,90	R$276,00
HMGK COMERCIO E SERVICOS LTDA.	R$5.660,64	R$155,60
HMGK COMERCIO E SERVICOS LTDA.	R$5.660,64	R$3.000,00
HMGK COMERCIO E SERVICOS LTDA.	R$5.660,64	R$349,74
HMGK COMERCIO E SERVICOS LTDA.	R$5.660,64	R$2.320,00
HMGK COMERCIO E SERVICOS LTDA.	R$5.660,64	R$823,50
HMGK COMERCIO E SERVICOS LTDA.	R$5.660,64	R$647,40
HMGK COMERCIO E SERVICOS LTDA.	R$5.660,64	R$1.364,40
MARIA EFIGENIA ALMEIDA DA SILVA	R$1.803,50	R$1.224,00
MARIA EFIGENIA ALMEIDA DA SILVA	R$1.803,50	R$579,50
N.S.S COMERCIAL E CONSTRUTORA EIRELI	R$7.576,80	R$10.853,52
N.S.S COMERCIAL E CONSTRUTORA EIRELI	R$7.576,80	R$ -
MEDS COMERCIO DE MEDICAMENTOS, PRODUTOS E EQUIPAMENTOS HOSPITALARES LTDA.	R$11.295,00	R$11.295,00
MEDS COMERCIO DE MEDICAMENTOS, PRODUTOS E EQUIPAMENTOS HOSPITALARES LTDA.	R$11.295,00	R$ -
JONATHAS DE ARAUJO LEITE ME	R$5.786,45	R$311,50
JONATHAS DE ARAUJO LEITE ME	R$5.786,45	R$383,60
JONATHAS DE ARAUJO LEITE ME	R$5.786,45	R$170,30
JONATHAS DE ARAUJO LEITE ME	R$5.786,45	R$2.823,15
JONATHAS DE ARAUJO LEITE ME	R$5.786,45	R$2.097,90
INFANTARIA COMERCIAL EIRELI	R$1.259,70	R$277,30
INFANTARIA COMERCIAL EIRELI	R$1.259,70	R$472,70
INFANTARIA COMERCIAL EIRELI	R$1.259,70	R$509,70
SIS COMÉRCIO DE MATERIAIS E EQUIPAMENTOS LTDA.	R$595,68	R$595,68
SIS COMÉRCIO DE MATERIAIS E EQUIPAMENTOS LTDA.	R$595,68	R$ -
REY-GLASS COMERCIAL E SERVICOS	R$659,94	R$659,94
REY-GLASS COMERCIAL E SERVICOS	R$659,94	R$ -
LILIANE ALARCAO DIAS CORREA RAMANZINI	R$990,00	R$990,00
LILIANE ALARCAO DIAS CORREA RAMANZINI	R$990,00	R$ -
ADONEX COMERCIO DE PRODUTOS PARA LABORATORIO	R$2.035,82	R$169,70
ADONEX COMERCIO DE PRODUTOS PARA LABORATORIO	R$2.035,82	R$1.866,12
OBAH PRODUTOS E SERVICOS ANALITICOS	R$1.198,99	R$1.198,99
OBAH PRODUTOS E SERVICOS ANALITICOS	R$1.198,99	R$ -
XLABOR TECNOLOGIA LTDA	R$2.380,10	R$880,10
XLABOR TECNOLOGIA LTDA	R$2.380,10	R$1.500,00
TPL TAMIS PRODUTOS LABORATORIAIS	R$244,00	R$244,00
TPL TAMIS PRODUTOS LABORATORIAIS	R$244,00	R$ -
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$203,06
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$1.999,92
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$1.842,75
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$785,70
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$728,97
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$71,10
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$431,68
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$542,88
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$1.011,22
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$143,10
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$60,00
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$117,90
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$396,48
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$1.687,25
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$605,88
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$961,56
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$2.478,30
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$857,87
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$2.073,80
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$254,65
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$726,60
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$333,40
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$529,47
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$700,00
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$212,40
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$523,60
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$2.253,30
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$94,38
